,Class,Present,Absent,Leave,Total
0,Nursery,57,24,1,84
1,I,63,14,0,80
2,II,58,32,0,90
3,III,72,7,0,80
4,IV,72,8,0,81
5,V,75,5,0,80
6,VI,237,52,0,292
7,VII,230,62,0,306
8,VIII,250,38,0,291
9,IX,415,103,0,522
10,X,131,26,0,158
11,XI Science,0,0,0,0
12,XI Arts,112,23,0,137
13,XI Commerce,17,4,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,95,22,0,119
17,XII Commerce,14,1,5,20
18,XII Vocational,0,0,0,0
