,Class,Present,Absent,Leave,Total
0,Nursery,46,35,1,84
1,I,40,37,0,80
2,II,44,36,0,80
3,III,41,37,1,80
4,IV,40,40,0,81
5,V,50,30,0,80
6,VI,216,74,0,293
7,VII,208,84,0,306
8,VIII,196,92,0,291
9,IX,375,144,0,524
10,X,130,27,0,158
11,XI Science,0,0,0,0
12,XI Arts,99,36,0,137
13,XI Commerce,10,11,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,96,21,0,119
17,XII Commerce,9,3,8,20
18,XII Vocational,0,0,0,0
