,Class,Present,Absent,Leave,Total
0,Nursery,69,14,0,84
1,I,66,7,0,76
2,II,67,12,0,79
3,III,67,11,0,79
4,IV,66,14,0,81
5,V,74,6,0,80
6,VI,233,54,0,291
7,VII,237,55,0,306
8,VIII,243,46,0,291
9,IX,389,123,1,514
10,X,139,17,1,158
11,XI Science,0,0,0,0
12,XI Arts,103,31,0,135
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,94,20,3,119
17,XII Commerce,19,1,0,20
18,XII Vocational,0,0,0,0
