,Class,Present,Absent,Leave,Total
0,Nursery,69,14,0,84
1,I,63,10,0,76
2,II,65,15,0,80
3,III,68,10,0,78
4,IV,67,13,1,82
5,V,74,6,0,80
6,VI,238,49,0,291
7,VII,238,53,1,306
8,VIII,256,33,0,291
9,IX,406,107,1,515
10,X,135,22,0,158
11,XI Science,0,0,0,0
12,XI Arts,109,25,0,135
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,95,19,3,119
17,XII Commerce,19,0,1,20
18,XII Vocational,0,0,0,0
