,Class,Present,Absent,Leave,Total
0,Nursery,61,21,0,84
1,I,58,15,0,76
2,II,68,12,0,80
3,III,68,10,0,79
4,IV,75,5,0,81
5,V,77,3,0,80
6,VI,249,40,0,293
7,VII,256,34,2,306
8,VIII,245,44,0,291
9,IX,389,125,1,516
10,X,147,10,1,159
11,XI Science,0,0,0,0
12,XI Arts,121,12,2,137
13,XI Commerce,19,2,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,99,15,3,119
17,XII Commerce,17,2,1,20
18,XII Vocational,0,0,0,0
