,Class,Present,Absent,Leave,Total
0,Nursery,74,9,0,84
1,I,61,11,0,75
2,II,67,13,0,80
3,III,68,10,0,79
4,IV,70,10,0,81
5,V,70,10,0,80
6,VI,238,49,0,291
7,VII,237,55,0,306
8,VIII,233,56,0,291
9,IX,383,127,4,515
10,X,137,20,0,158
11,XI Science,0,0,0,0
12,XI Arts,108,25,1,135
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,94,20,3,119
17,XII Commerce,16,3,1,20
18,XII Vocational,0,0,0,0
