,Class,Present,Absent,Leave,Total
0,Nursery,65,16,1,82
1,I,65,12,0,77
2,II,67,12,0,79
3,III,71,8,0,79
4,IV,71,7,1,79
5,V,72,8,0,80
6,VI,231,54,3,288
7,VII,244,44,0,288
8,VIII,250,34,0,284
9,IX,388,102,3,493
10,X,128,24,4,156
11,XI Science,0,0,0,0
12,XI Arts,106,24,0,130
13,XI Commerce,19,2,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,91,25,1,117
17,XII Commerce,17,2,1,20
18,XII Vocational,0,0,0,0
