,Class,Present,Absent,Leave,Total
0,Nursery,62,19,1,82
1,I,64,13,0,77
2,II,70,9,0,79
3,III,70,9,0,79
4,IV,70,7,2,79
5,V,69,11,0,80
6,VI,225,63,0,288
7,VII,230,59,0,289
8,VIII,244,40,0,284
9,IX,391,99,3,493
10,X,130,26,0,156
11,XI Science,0,0,0,0
12,XI Arts,99,31,0,130
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,90,23,4,117
17,XII Commerce,15,5,0,20
18,XII Vocational,0,0,0,0
