,Class,Present,Absent,Leave,Total
0,Nursery,44,37,1,84
1,I,46,31,0,80
2,II,46,33,0,80
3,III,44,35,0,80
4,IV,60,19,0,80
5,V,49,31,0,80
6,VI,149,141,0,292
7,VII,156,133,0,306
8,VIII,177,108,0,291
9,IX,288,205,0,520
10,X,101,54,1,158
11,XI Science,0,0,0,0
12,XI Arts,83,47,0,136
13,XI Commerce,14,7,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,72,45,0,119
17,XII Commerce,16,3,1,20
18,XII Vocational,0,0,0,0
