,Class,Present,Absent,Leave,Total
0,Nursery,62,19,1,84
1,I,67,10,0,80
2,II,55,24,0,80
3,III,66,12,1,80
4,IV,71,8,0,80
5,V,67,13,0,80
6,VI,224,64,0,290
7,VII,214,75,0,306
8,VIII,222,63,0,291
9,IX,382,109,2,520
10,X,131,23,2,158
11,XI Science,0,0,0,0
12,XI Arts,108,22,0,136
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,100,16,1,119
17,XII Commerce,17,3,0,20
18,XII Vocational,0,0,0,0
