,Class,Present,Absent,Leave,Total
0,Nursery,64,17,1,84
1,I,61,14,0,78
2,II,62,17,0,80
3,III,52,26,1,80
4,IV,70,8,2,81
5,V,58,22,0,80
6,VI,245,45,0,292
7,VII,227,62,0,306
8,VIII,229,59,0,291
9,IX,374,119,0,520
10,X,126,28,2,158
11,XI Science,0,0,0,0
12,XI Arts,97,33,0,136
13,XI Commerce,17,4,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,91,26,0,119
17,XII Commerce,18,1,1,20
18,XII Vocational,1,1,1,3
