,Class,Present,Absent,Leave,Total
0,Nursery,45,36,1,84
1,I,52,25,0,80
2,II,58,21,0,80
3,III,57,22,0,80
4,IV,59,20,1,81
5,V,63,17,0,80
6,VI,178,111,1,292
7,VII,177,112,0,303
8,VIII,188,100,0,291
9,IX,322,171,0,519
10,X,118,38,0,158
11,XI Science,0,0,0,0
12,XI Arts,83,47,0,136
13,XI Commerce,19,2,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,72,43,2,119
17,XII Commerce,19,1,0,20
18,XII Vocational,0,0,0,0
