,Class,Present,Absent,Leave,Total
0,Nursery,62,19,1,84
1,I,61,16,0,80
2,II,70,9,0,80
3,III,60,17,2,80
4,IV,67,12,0,80
5,V,72,8,0,80
6,VI,228,62,0,292
7,VII,256,33,0,306
8,VIII,254,33,0,291
9,IX,414,89,0,530
10,X,132,24,0,158
11,XI Science,0,0,0,0
12,XI Arts,95,35,0,136
13,XI Commerce,18,3,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,86,31,2,121
17,XII Commerce,17,1,2,20
18,XII Vocational,0,0,0,0
