,Class,Present,Absent,Leave,Total
0,Nursery,68,13,1,84
1,I,71,6,0,80
2,II,62,17,0,80
3,III,60,17,2,80
4,IV,73,7,0,81
5,V,73,7,0,80
6,VI,244,45,1,292
7,VII,249,58,0,324
8,VIII,249,39,0,291
9,IX,368,124,1,520
10,X,141,15,0,158
11,XI Science,0,0,0,0
12,XI Arts,107,23,0,136
13,XI Commerce,18,3,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,98,19,0,119
17,XII Commerce,19,1,0,20
18,XII Vocational,0,0,0,0
