,Class,Present,Absent,Leave,Total
0,Nursery,65,13,0,78
1,I,63,11,0,74
2,II,68,10,0,78
3,III,67,11,1,79
4,IV,71,7,0,78
5,V,70,12,0,82
6,VI,240,67,0,307
7,VII,243,49,0,292
8,VIII,249,59,1,309
9,IX,330,73,2,405
10,X,113,12,0,125
11,XI Science,0,0,0,0
12,XI Arts,116,39,1,156
13,XI Commerce,16,2,3,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,127,0,0,127
17,XII Commerce,4,19,0,23
18,XII Vocational,0,0,0,0
