,Class,Present,Absent,Leave,Total
0,Nursery,64,14,0,78
1,I,67,7,0,74
2,II,66,12,0,78
3,III,71,4,0,75
4,IV,73,5,0,78
5,V,71,11,0,82
6,VI,252,54,1,307
7,VII,248,43,0,291
8,VIII,242,66,3,311
9,IX,311,86,2,399
10,X,89,46,0,135
11,XI Science,0,0,0,0
12,XI Arts,130,26,2,158
13,XI Commerce,17,2,2,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,123,1,2,126
17,XII Commerce,21,2,0,23
18,XII Vocational,0,0,0,0
