,Class,Present,Absent,Leave,Total
0,Nursery,76,2,0,78
1,I,73,1,0,74
2,II,77,1,0,78
3,III,79,0,0,79
4,IV,78,0,0,78
5,V,82,0,0,82
6,VI,212,92,2,306
7,VII,214,78,0,292
8,VIII,232,73,2,307
9,IX,281,116,1,398
10,X,101,33,1,135
11,XI Science,0,0,0,0
12,XI Arts,114,42,0,156
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,110,14,2,126
17,XII Commerce,15,8,0,23
18,XII Vocational,0,0,0,0
