,Class,Present,Absent,Leave,Total
0,Nursery,66,12,0,78
1,I,64,10,0,74
2,II,62,16,0,78
3,III,71,6,0,77
4,IV,72,6,0,78
5,V,71,11,0,82
6,VI,249,58,0,307
7,VII,261,31,1,293
8,VIII,257,52,2,311
9,IX,328,55,10,393
10,X,128,7,0,135
11,XI Science,0,0,0,0
12,XI Arts,128,25,3,156
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,121,5,0,126
17,XII Commerce,13,10,0,23
18,XII Vocational,0,0,0,0
