,Class,Present,Absent,Leave,Total
0,Nursery,62,18,0,80
1,I,61,13,0,74
2,II,70,8,0,78
3,III,72,6,1,79
4,IV,73,5,0,78
5,V,73,9,0,82
6,VI,253,54,0,307
7,VII,245,48,0,293
8,VIII,241,69,0,310
9,IX,326,77,2,405
10,X,122,13,0,135
11,XI Science,0,0,0,0
12,XI Arts,125,29,3,157
13,XI Commerce,17,4,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,126,0,0,126
17,XII Commerce,11,12,0,23
18,XII Vocational,0,0,0,0
