,Class,Present,Absent,Leave,Total
0,Nursery,66,14,0,80
1,I,66,8,0,74
2,II,68,10,0,78
3,III,70,8,1,79
4,IV,71,7,0,78
5,V,75,7,0,82
6,VI,243,64,0,307
7,VII,251,45,0,296
8,VIII,269,40,2,311
9,IX,327,76,2,405
10,X,124,11,0,135
11,XI Science,0,0,0,0
12,XI Arts,124,29,3,156
13,XI Commerce,19,1,1,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,79,40,7,126
17,XII Commerce,23,0,0,23
18,XII Vocational,0,0,0,0
