,Class,Present,Absent,Leave,Total
0,Nursery,37,43,0,80
1,I,35,39,0,74
2,II,44,34,0,78
3,III,44,34,1,79
4,IV,52,26,0,78
5,V,64,28,0,92
6,VI,203,104,0,307
7,VII,224,71,0,295
8,VIII,190,119,1,310
9,IX,321,64,19,404
10,X,125,11,0,136
11,XI Science,0,0,0,0
12,XI Arts,127,28,2,157
13,XI Commerce,18,2,1,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,76,40,9,125
17,XII Commerce,23,0,0,23
18,XII Vocational,0,0,0,0
