,Class,Present,Absent,Leave,Total
0,Nursery,2,78,0,80
1,I,5,69,0,74
2,II,4,74,0,78
3,III,3,76,0,79
4,IV,6,72,0,78
5,V,5,77,0,82
6,VI,33,279,0,312
7,VII,28,267,0,295
8,VIII,52,261,0,313
9,IX,138,267,0,405
10,X,39,96,0,135
11,XI Science,0,0,0,0
12,XI Arts,26,131,0,157
13,XI Commerce,5,16,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,37,89,0,126
17,XII Commerce,7,16,0,23
18,XII Vocational,0,0,0,0
