,Class,Present,Absent,Leave,Total
0,Nursery,69,12,1,84
1,I,64,13,0,80
2,II,65,15,0,80
3,III,61,18,0,80
4,IV,70,9,1,81
5,V,69,11,0,80
6,VI,226,64,0,293
7,VII,225,67,0,306
8,VIII,192,96,0,291
9,IX,398,115,1,522
10,X,137,20,0,158
11,XI Science,0,0,0,0
12,XI Arts,111,21,3,137
13,XI Commerce,18,3,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,95,21,1,119
17,XII Commerce,16,1,3,20
18,XII Vocational,0,0,0,0
