,Class,Present,Absent,Leave,Total
0,Nursery,56,25,1,84
1,I,58,19,0,80
2,II,67,13,0,80
3,III,67,12,0,80
4,IV,69,11,0,81
5,V,69,11,0,80
6,VI,220,71,0,293
7,VII,207,85,0,306
8,VIII,220,68,0,291
9,IX,373,138,1,522
10,X,125,30,1,158
11,XI Science,0,0,0,0
12,XI Arts,89,46,0,137
13,XI Commerce,12,9,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,77,40,0,119
17,XII Commerce,13,2,5,20
18,XII Vocational,0,0,0,0
