,Class,Present,Absent,Leave,Total
0,Nursery,59,22,1,84
1,I,66,11,0,80
2,II,67,13,0,80
3,III,65,14,0,80
4,IV,69,11,0,81
5,V,75,5,0,80
6,VI,229,61,1,293
7,VII,243,49,0,306
8,VIII,235,53,0,291
9,IX,406,104,2,522
10,X,142,14,0,158
11,XI Science,0,0,0,0
12,XI Arts,97,37,1,137
13,XI Commerce,15,6,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,93,24,0,119
17,XII Commerce,18,2,1,21
18,XII Vocational,0,0,0,0
