,Class,Present,Absent,Leave,Total
0,Nursery,0,0,82,82
1,I,0,0,77,77
2,II,0,0,79,79
3,III,0,0,79,79
4,IV,0,0,79,79
5,V,0,0,80,80
6,VI,218,68,1,287
7,VII,235,51,0,286
8,VIII,238,43,0,281
9,IX,403,83,4,490
10,X,137,19,0,156
11,XI Science,0,0,0,0
12,XI Arts,108,19,2,129
13,XI Commerce,19,2,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,74,43,0,117
17,XII Commerce,10,8,2,20
18,XII Vocational,0,0,0,0
