,Class,Present,Absent,Leave,Total
0,Nursery,58,23,1,82
1,I,64,13,0,77
2,II,64,15,0,79
3,III,71,8,0,79
4,IV,70,9,0,79
5,V,77,3,0,80
6,VI,239,47,1,287
7,VII,201,83,2,286
8,VIII,233,48,0,281
9,IX,403,84,6,493
10,X,126,28,2,156
11,XI Science,0,0,0,0
12,XI Arts,99,27,3,129
13,XI Commerce,21,0,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,44,70,3,117
17,XII Commerce,19,1,0,20
18,XII Vocational,0,0,0,0
