,Class,Present,Absent,Leave,Total
0,Nursery,72,9,1,82
1,I,69,8,0,77
2,II,71,8,0,79
3,III,68,11,0,79
4,IV,73,5,1,79
5,V,75,5,0,80
6,VI,248,38,1,287
7,VII,245,41,0,286
8,VIII,232,49,0,281
9,IX,417,72,4,493
10,X,133,23,0,156
11,XI Science,0,0,0,0
12,XI Arts,110,16,3,129
13,XI Commerce,18,3,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,88,27,2,117
17,XII Commerce,10,5,5,20
18,XII Vocational,0,0,0,0
