,Class,Present,Absent,Leave,Total
0,Nursery,64,17,1,82
1,I,67,10,0,77
2,II,61,18,0,79
3,III,70,9,0,79
4,IV,72,6,1,79
5,V,72,8,0,80
6,VI,237,49,1,287
7,VII,243,41,3,287
8,VIII,239,43,0,282
9,IX,410,72,11,493
10,X,135,21,0,156
11,XI Science,0,0,0,0
12,XI Arts,103,26,0,129
13,XI Commerce,20,1,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,82,33,2,117
17,XII Commerce,17,2,1,20
18,XII Vocational,0,0,0,0
