,Class,Present,Absent,Leave,Total
0,Nursery,65,17,0,82
1,I,68,9,0,77
2,II,70,9,0,79
3,III,74,5,0,79
4,IV,74,4,1,79
5,V,75,5,0,80
6,VI,244,43,0,287
7,VII,242,43,1,286
8,VIII,227,54,0,281
9,IX,454,35,4,493
10,X,119,36,1,156
11,XI Science,0,0,0,0
12,XI Arts,106,21,2,129
13,XI Commerce,21,0,0,21
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,98,19,0,117
17,XII Commerce,9,10,1,20
18,XII Vocational,0,0,0,0
