,Class,Present,Absent,Leave,Total
0,Nursery,66,17,0,84
1,I,55,24,0,79
2,II,71,9,0,80
3,III,70,10,0,80
4,IV,68,12,0,80
5,V,76,4,0,80
6,VI,239,57,0,296
7,VII,240,65,0,305
8,VIII,243,48,0,291
9,IX,237,164,6,407
10,X,127,25,5,157
11,XI Science,0,0,0,0
12,XI Arts,107,28,0,135
13,XI Commerce,21,1,0,22
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,90,20,9,121
17,XII Commerce,19,1,0,20
18,XII Vocational,0,0,0,0
