,Class,Present,Absent,Leave,Total
0,Nursery,8,74,0,83
1,I,8,71,0,79
2,II,7,73,0,80
3,III,5,75,0,80
4,IV,6,74,0,80
5,V,13,67,0,80
6,VI,17,266,0,283
7,VII,33,270,0,303
8,VIII,30,261,0,291
9,IX,62,474,0,536
10,X,39,117,1,157
11,XI Science,0,0,0,0
12,XI Arts,30,91,0,121
13,XI Commerce,11,9,0,20
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,21,98,0,119
17,XII Commerce,6,14,0,20
18,XII Vocational,0,0,0,0
