,Class,Present,Absent,Leave,Total
0,Nursery,64,19,0,84
1,I,64,13,0,77
2,II,67,13,0,80
3,III,64,16,0,80
4,IV,73,7,0,80
5,V,71,9,0,80
6,VI,216,74,0,290
7,VII,224,80,1,305
8,VIII,240,51,0,291
9,IX,369,149,2,520
10,X,135,22,1,158
11,XI Science,0,0,0,0
12,XI Arts,107,27,1,135
13,XI Commerce,15,4,0,19
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,95,21,1,119
17,XII Commerce,18,1,1,20
18,XII Vocational,0,0,0,0
