,Class,Present,Absent,Leave,Total
0,Nursery,58,24,0,83
1,I,51,28,0,79
2,II,60,20,0,80
3,III,64,16,0,80
4,IV,67,13,0,80
5,V,68,12,0,80
6,VI,219,57,0,276
7,VII,220,84,0,304
8,VIII,229,62,0,291
9,IX,331,189,7,527
10,X,122,29,6,157
11,XI Science,0,0,0,0
12,XI Arts,85,58,0,143
13,XI Commerce,22,1,0,23
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,84,35,0,119
17,XII Commerce,17,1,2,20
18,XII Vocational,0,0,0,0
