,Class,Present,Absent,Leave,Total
0,Nursery,4,78,0,83
1,I,7,72,0,79
2,II,10,70,0,80
3,III,6,74,0,80
4,IV,7,73,0,80
5,V,19,61,0,80
6,VI,28,255,0,283
7,VII,35,268,0,303
8,VIII,33,258,0,291
9,IX,83,453,0,536
10,X,29,128,0,157
11,XI Science,0,0,0,0
12,XI Arts,36,89,0,125
13,XI Commerce,14,8,0,22
14,XI Vocational,0,0,0,0
15,XII Science,0,0,0,0
16,XII Arts,30,89,0,119
17,XII Commerce,5,15,0,20
18,XII Vocational,0,0,0,0
